Kc,Kcnum,Kini,Kmid,Kend,
alfalfa,1,0.4,0.5,0.5,
alfalfa,2,0.4,1.1,0.9,
alfalfa,3,0.4,0.95,0.8,
corngrn,1,0.3,1.2,0.9,
cotton,1,0.35,1.15,0.6,
cotton,2,0.35,0.85,0.45,
barley,1,0.3,1.15,0.25,
barley,2,0.35,0.75,0.65,
wheat,1,0.3,1.15,0.25,
wheat,2,0.35,0.75,0.65,
cabbage,1,0.45,0.75,1.15,
cabbage,2,0.7,1.05,0.95,
carrot,1,0.45,0.75,1.15,
carrot,2,0.7,1.05,0.95,
lettuce,1,0.45,0.6,1,
lettuce,2,0.7,1,0.95,
melon,1,0.45,0.75,1,
melon,2,0.5,1.05,0.75,
sorghum,1,0.35,0.75,1.1,
sorghum,2,0.3,0.95,0.75,
citrus,1,0.55,0.55,0.55,
orchardnocov,1,0.55,0.8,0.55,
orchardnocov,2,0.55,0.7,0.55,
pistachio,1,0.4,1.1,0.45,
